ParcelIndex,AreaName,AreaDescription,New?,Sections,SectionsBOLD,ColourRGB,OtherNames
334,R_V4t,Area V4t,No,5,5,"184,60,27",LO2
335,R_FST,Area FST,No,"5,14,15",5,"184,60,27",
336,R_V3CD,Area V3CD,Yes,"2,3,5,17",5,"184,60,27","V3A,V3B, hOC4la"
337,R_LO3,"Area Lateral Occipital 3",Yes,"5,15,17",5,"184,60,27",hOC4la
338,R_VMV2,"VentroMedial Visual Area 2",Yes*,"2,4,13",4,"68,53,0","PHC1, PHC-1"
339,R_31pd,Area 31pd,Yes*,18,18,"247,126,247","31, 31d, 31v"
340,R_31a,Area 31a,Yes*,18,18,"247,126,247","31, 31d, 31v"
341,R_VVC,Ventral Visual Complex,Yes*,"4,13,14",4,"68,53,0","VO1, VO2, PHC1, PHC2, PHC-1, PHC-2, FG1"
342,R_25,Area 25,No,"19,20",19,"52,134,17",
343,R_s32,Area s32,No,19,19,"52,134,17","32pl, 32"
344,R_pOFC,posterior OFC Complex,Yes*,"12,19,20",19,"52,134,17","13a, 14c, Fo2"
345,R_PoI1,"Area Posterior Insular 1",Yes*,12,12,"216,99,9","Id1, Id2, Id3"
346,R_Ig,"Insular Granular Complex",Yes*,"9,12",12,"216,99,9","Ig1, Ig2"
347,R_FOP5,"Area Frontal Opercular 5",Yes,"12,21",12,"216,99,9",PrCO
348,R_p10p,Area posterior 10p,Yes*,"20,22",20,"44,224,0","10p, 10, Fp1"
349,R_p47r,Area posterior 47r,Yes*,"20,21,22",21,"0,163,117",47r
350,R_TGv,Area TG Ventral,Yes*,"13,14",14,"246,83,118",
351,R_MBelt,Medial Belt Complex,Yes*,"10,12",10,"230,98,192","Belt, TB"
352,R_LBelt,Lateral Belt Complex,Yes*,10,10,"230,98,192","Belt, TB"
353,R_A4,Auditory 4 Complex,Yes*,"11,15",11,"0,190,251",TE3
354,R_STSva,Area STSv anterior,Yes,"11,14",11,"0,190,251",
355,R_TE1m,Area TE1 Middle,Yes*,"11,14",14,"246,83,118",
356,R_PI,Para-Insular Area,No,"11,12,14",12,"216,99,9",IBT
357,R_a32pr,"Area anterior 32 prime",Yes*,19,19,"52,134,17",32'
358,R_p24,Area posterior 24,Yes*,19,19,"52,134,17",24
